decay,acc
0.0,0.0286
0.1,0.0255
0.2,0.0236
0.30000000000000004,0.0225
0.4,0.0219
0.5,0.0223
0.6,0.0235
0.7,0.0238
0.7999999999999999,0.0264
0.8999999999999999,0.03
0.9999999999999999,0.0362
1.0999999999999999,0.0422
1.2,0.051
1.3,0.0592
1.4000000000000001,0.0693
1.5000000000000002,0.0812
1.6000000000000003,0.091
1.7000000000000004,0.1016
1.8000000000000005,0.1123
1.9000000000000006,0.1227
